"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Neurodegenerative disease","mmu05016","Huntington disease - Mus musculus (house mouse)","69/1100","308/9787",0.224025974025974,1.99322018890201,6.30236675987703,9.70584543873877e-09,2.96469460674202e-07,2.28482103151171e-07,"227197/22145/67273/226646/11949/19177/228033/68349/19182/21817/11950/12913/66576/67680/12371/231329/68202/66108/232943/110323/11771/381917/67003/23997/66491/11739/66916/20021/17463/12857/26441/14775/22273/237336/66043/11947/22333/22272/22123/71679/69926/102631912/74325/66945/66445/21762/11957/20655/20656/21374/68342/78330/22154/16573/17991/67951/11946/104130/17716/17717/17708/17709/17706/17710/17718/17719/17721/17722/17711",69
"Organismal Systems","Immune system","mmu04610","Complement and coagulation cascades - Mus musculus (house mouse)","31/1100","94/9787",0.329787234042553,2.93420696324952,6.7050465979277,1.46526447436933e-08,4.10274052823413e-07,3.16188649732329e-07,"14060/12628/11905/14067/17221/69379/15139/14061/99571/14161/110135/230558/17175/14058/18816/22370/20701/20703/20700/20702/20704/17194/12759/12279/16644/16415/18815/12268/625018/12263/12266",31
"Metabolism","Carbohydrate metabolism","mmu00020","Citrate cycle (TCA cycle) - Mus musculus (house mouse)","16/1100","32/9787",0.5,4.44863636363636,6.95300902453991,6.08528079158055e-08,1.57281103536236e-06,1.21212880544843e-06,"170718/18534/67680/17448/56451/269951/235339/12974/18293/17449/13382/78920/66945/11429/15929/18597",16
"Metabolism","Carbohydrate metabolism","mmu00010","Glycolysis / Gluconeogenesis - Mus musculus (house mouse)","24/1100","67/9787",0.358208955223881,3.18708276797829,6.3919522973918,1.06049978744934e-07,2.54519948987841e-06,1.96152592265066e-06,"60525/18534/11529/11522/230163/72157/11669/15277/21991/16832/14447/14751/16828/11674/235339/18746/15275/56012/13808/13382/56421/14121/18642/18597",24
"Human Diseases","Neurodegenerative disease","mmu05014","Amyotrophic lateral sclerosis - Mus musculus (house mouse)","76/1100","375/9787",0.202666666666667,1.80318060606061,5.64354413041683,1.57853673936836e-07,3.53592229618512e-06,2.7250528974359e-06,"227197/22145/67273/108989/641376/226646/11949/227720/14828/19177/228033/68349/19182/12359/214585/11950/66576/68943/67680/12371/230908/107939/19353/68202/53379/66108/232943/110323/381917/67003/23997/66916/17463/12857/26441/83961/14775/22273/66043/13198/11947/19324/18412/22333/22272/237782/22123/71679/69926/102631912/66945/11744/66445/21762/11957/20655/68342/78330/22154/16573/17991/67951/11946/12015/104130/17716/17717/17708/17709/17706/17710/17718/17719/17721/17722/17711",76
"Human Diseases","Neurodegenerative disease","mmu05022","Pathways of neurodegeneration - multiple diseases - Mus musculus (house mouse)","91/1100","481/9787",0.189189189189189,1.68326781326781,5.46822044707749,2.61402674000296e-07,5.48945615400621e-06,4.23059590816268e-06,"227197/22145/67273/641376/226646/11949/14828/19177/228033/68349/19182/12359/214585/16175/18803/22414/11950/66576/68943/67680/12371/170731/230908/11938/22190/19353/68202/110157/12288/66108/16653/232943/110323/381917/67003/11937/23997/11739/66916/17463/12857/26441/14775/22273/66043/13198/11947/19324/18412/22333/22272/237782/22187/13543/67128/22123/71679/69926/102631912/20191/20238/66945/12289/66445/21762/11957/11820/20655/68342/12018/78330/22154/16573/17991/67951/11946/20743/12015/104130/237038/17716/17717/17708/17709/17706/17710/17718/17719/17721/17722/17711",91
"Human Diseases","Cardiovascular disease","mmu05414","Dilated cardiomyopathy - Mus musculus (house mouse)","30/1100","103/9787",0.29126213592233,2.59143865842895,5.77756929495075,5.49720783571178e-07,1.08650696047009e-05,8.37345589835974e-06,"13346/21956/21808/12298/22138/16401/17868/11464/14683/17906/11938/12288/21954/11937/326618/11606/16412/22003/13138/17897/18821/16000/16404/20191/12289/21924/17888/140781/224129/20541",30
"Metabolism","Global and overview maps","mmu01210","2-Oxocarboxylic acid metabolism - Mus musculus (house mouse)","15/1100","34/9787",0.441176470588235,3.92526737967914,6.07994922244714,1.2278537739453e-06,2.29199371136456e-05,1.76638613093885e-05,"170718/12039/12036/269951/14719/235339/12974/18293/217214/13382/78920/268782/11429/15929/18597",15
"Human Diseases","Neurodegenerative disease","mmu05010","Alzheimer disease - Mus musculus (house mouse)","75/1100","389/9787",0.19280205655527,1.7154124795513,5.12362846188386,1.46556162291908e-06,2.591730027899e-05,1.99738592375675e-05,"227197/22145/67273/226646/23797/11949/19177/228033/68349/19182/16175/226548/22414/11950/66576/67680/12371/11938/68202/110157/12288/66108/16653/232943/11816/110323/67003/11937/23997/11739/16956/66916/17463/12857/23821/26441/22273/66043/13198/11947/68585/22333/22272/13543/22123/71679/11491/102631912/66945/12289/66445/21762/11957/11820/68342/78330/22154/16573/17991/67951/11946/12015/104130/237038/17716/17717/17708/17709/17706/17710/17718/17719/17721/17722/17711",75
"Organismal Systems","Endocrine system","mmu03320","PPAR signaling pathway - Mus musculus (house mouse)","26/1100","89/9787",0.292134831460674,2.59920326864147,5.39289071730662,2.91560778152986e-06,4.89822107297016e-05,3.7749448118755e-05,"11363/13167/11807/26458/18830/18534/11770/15360/11364/20280/14077/12491/22190/14080/26459/16202/14081/16956/11806/11814/13124/216739/11430/56473/20249/433256",26
"Organismal Systems","Circulatory system","mmu04261","Adrenergic signaling in cardiomyocytes - Mus musculus (house mouse)","37/1100","156/9787",0.237179487179487,2.11025058275058,4.97406727740205,6.8080164816186e-06,0.000108928263705898,8.39484739086805e-05,"21956/11931/98660/23797/12298/11464/14683/11928/12913/17906/11938/12288/21954/11937/19053/326618/11606/73699/22003/235542/14678/17897/20271/19054/18821/19052/59032/20191/12289/21924/17888/140781/224129/64082/21770/20541/19045",37
"Human Diseases","Cardiovascular disease","mmu05410","Hypertrophic cardiomyopathy - Mus musculus (house mouse)","27/1100","100/9787",0.27,2.40226363636364,5.01532475204833,9.7241686923728e-06,0.000148514576392603,0.000114456722407833,"13346/21956/21808/12298/22138/16401/17868/11464/17906/11938/12288/21954/11937/326618/11606/16412/22003/13138/17897/16000/16404/20191/12289/21924/17888/140781/20541",27
"Metabolism","Carbohydrate metabolism","mmu00620","Pyruvate metabolism - Mus musculus (house mouse)","16/1100","44/9787",0.363636363636364,3.23537190082645,5.28802880216336,1.13565183243223e-05,0.00016590391986836,0.000127858284109074,"60525/18534/11529/11522/100705/11669/17448/16832/16828/235339/110446/18746/17449/13382/224530/18597",16
"Organismal Systems","Digestive system","mmu04979","Cholesterol metabolism - Mus musculus (house mouse)","17/1100","50/9787",0.34,3.02507272727273,5.10830805672145,1.70428447096574e-05,0.000236885733031578,0.000182562313050652,"11807/18830/30924/12491/11812/11816/20845/16956/11806/11814/11808/22333/11818/238055/12684/67470/18145",17
"Metabolism","Amino acid metabolism","mmu00270","Cysteine and methionine metabolism - Mus musculus (house mouse)","18/1100","55/9787",0.327272727272727,2.9118347107438,5.05934941736056,1.76254265648496e-05,0.000236885733031578,0.000182562313050652,"14854/231691/17448/232087/16832/14204/100328588/12036/16828/14719/17449/12116/11720/268782/246221/12411/14711/12583",18
"Metabolism","Carbohydrate metabolism","mmu00630","Glyoxylate and dicarboxylate metabolism - Mus musculus (house mouse)","13/1100","32/9787",0.40625,3.61451704545455,5.2712894880835,1.89776493283373e-05,0.000245249622089282,0.000189008167399635,"14645/12359/60525/17448/110446/434437/12974/17449/20425/71562/13382/11429/224530",13
"Environmental Information Processing","Signal transduction","mmu04152","AMPK signaling pathway - Mus musculus (house mouse)","31/1100","127/9787",0.244094488188976,2.17177523264137,4.72956990670043,2.03874360026413e-05,0.000253710314699536,0.000195528625990244,"12283/18640/23797/18534/12428/12913/12491/100705/68465/67605/14936/12443/19053/73699/235542/19054/56484/20869/13629/16000/19052/19325/59032/56421/14121/18642/22084/19326/21770/58988/20249",31
"Metabolism","Global and overview maps","mmu01212","Fatty acid metabolism - Mus musculus (house mouse)","19/1100","62/9787",0.306451612903226,2.72658357771261,4.85291498333565,2.96778910389334e-05,0.000353695094331326,0.000272584565180157,"11363/15107/11364/20280/97212/231086/14081/106529/110446/216739/11370/11430/71147/224530/54397/52538/56473/20249/433256",19
"Metabolism","Lipid metabolism","mmu00071","Fatty acid degradation - Mus musculus (house mouse)","17/1100","52/9787",0.326923076923077,2.90872377622378,4.9106707297535,3.05272551655014e-05,0.000353695094331326,0.000272584565180157,"11363/15107/11529/11522/11364/97212/231086/11669/14081/270076/110446/216739/11370/11430/224530/52538/433256",17
"Metabolism","Amino acid metabolism","mmu00220","Arginine biosynthesis - Mus musculus (house mouse)","10/1100","21/9787",0.476190476190476,4.23679653679654,5.28360966189155,3.39573229975691e-05,0.000380322017572773,0.000293105314294807,"227231/14645/11898/109900/14719/11846/217214/11847/14661/18416",10
"Cellular Processes","Transport and catabolism","mmu04146","Peroxisome - Mus musculus (house mouse)","23/1100","87/9787",0.264367816091954,2.35215256008359,4.50778808680924,6.25815537260015e-05,0.000678303291997951,0.00052275253706609,"16922/12908/12359/26458/170789/20280/18477/56273/71382/17527/330450/51798/110959/269951/14081/67528/216739/11430/13850/20655/20656/54683/433256",23
"Metabolism","Carbohydrate metabolism","mmu00650","Butanoate metabolism - Mus musculus (house mouse)","11/1100","27/9787",0.407407407407407,3.62481481481481,4.85981435345015,8.13020922426549e-05,0.000835742387031154,0.000644087177975137,"15360/15107/97212/272428/117147/20216/110446/214579/67041/71911/224530",11
"Metabolism","Carbohydrate metabolism","mmu00051","Fructose and mannose metabolism - Mus musculus (house mouse)","13/1100","36/9787",0.361111111111111,3.21290404040404,4.73318295023622,8.20818415834169e-05,0.000835742387031154,0.000644087177975137,"18640/20322/230163/16548/15277/21991/11674/331026/15275/56421/14121/18642/225913",13
"Metabolism","Amino acid metabolism","mmu00280","Valine, leucine and isoleucine degradation - Mus musculus (house mouse)","17/1100","57/9787",0.298245614035088,2.65357256778309,4.45521127647556,0.000112608783992576,0.00111283974769134,0.000857639655175655,"15360/15107/11364/97212/231086/11669/12039/14204/100328588/12036/110446/13382/104776/67041/268782/224530/52538",17
"Metabolism","Amino acid metabolism","mmu00310","Lysine degradation - Mus musculus (house mouse)","18/1100","64/9787",0.28125,2.50235795454545,4.29069162338008,0.000164705785320671,0.00158117553907844,0.0012185751335003,"64707/192195/84505/15107/69188/97212/11669/26433/12180/233904/270076/110446/208266/72947/13382/78920/381022/224530",18
"Genetic Information Processing","Folding, sorting and degradation","mmu04141","Protein processing in endoplasmic reticulum - Mus musculus (house mouse)","36/1100","175/9787",0.205714285714286,1.8302961038961,3.94374822248841,0.000217114023704369,0.00202639755457411,0.00156169736348757,"13418/14828/14827/81910/69276/66105/15502/12017/13200/50907/67397/108159/19358/12317/19089/15481/12955/140740/22027/216440/13198/12330/116891/67128/18453/15519/67475/105245/218811/66435/56424/12018/15482/15516/66530/74126",36
"Organismal Systems","Endocrine system","mmu04919","Thyroid hormone signaling pathway - Mus musculus (house mouse)","27/1100","120/9787",0.225,2.00188636363636,3.9294092834675,0.000293357962963795,0.002664007447455,0.0020530884463469,"18802/18640/11931/98660/23797/18128/18803/329650/11928/12371/11938/110157/16653/11937/12443/18821/20185/19014/21833/56421/17888/140781/18642/22084/18131/53901/12015",27
"Metabolism","Carbohydrate metabolism","mmu00640","Propanoate metabolism - Mus musculus (house mouse)","11/1100","31/9787",0.354838709677419,3.15709677419355,4.28034345274751,0.000345403757016268,0.00305409637782806,0.00235372089268704,"60525/97212/100705/56451/16832/12039/16828/52665/11430/13382/104776",11
"Cellular Processes","Cell growth and death","mmu04216","Ferroptosis - Mus musculus (house mouse)","13/1100","41/9787",0.317073170731707,2.82108647450111,4.15789321308132,0.000366098227867942,0.00315407704009304,0.00243077365871832,"14854/12870/23983/74244/14792/14325/14081/22041/216739/27057/18521/14319/433256",13
"Metabolism","Amino acid metabolism","mmu00380","Tryptophan metabolism - Mus musculus (house mouse)","15/1100","52/9787",0.288461538461538,2.56652097902098,4.03026819021572,0.000420712033143851,0.00353398107840835,0.00272355684614177,"266645/12359/56720/15107/97212/11669/14204/100328588/270076/110446/71562/13382/78920/224530/107766",15
"Human Diseases","Endocrine and metabolic disease","mmu04932","Non-alcoholic fatty liver disease - Mus musculus (house mouse)","33/1100","162/9787",0.203703703703704,1.81240740740741,3.71018060059371,0.000470892465662058,0.00385902118201101,0.00297405767786563,"227197/67273/226646/23797/68349/16175/66576/67680/19353/68202/68465/66108/606496/110323/12606/67003/13106/66916/12857/22273/13198/22272/102631912/66945/66445/68342/78330/17991/104130/17708/17709/17710/17711",33
"Organismal Systems","Immune system","mmu04612","Antigen processing and presentation - Mus musculus (house mouse)","21/1100","87/9787",0.241379310344828,2.14761755485893,3.82591202703224,0.00050085201119701,0.00400681608957608,0.00308795976828232,"14828/14827/12010/170767/19727/12317/15481/12330/15525/15519/13039/19186/13030/21356/14972/15482/14964/15015/15007/15042/15516",21
"Metabolism","Metabolism of cofactors and vitamins","mmu00785","Lipoic acid metabolism - Mus musculus (house mouse)","8/1100","19/9787",0.421052631578947,3.74622009569378,4.26356956464862,0.000600763865139967,0.00469434089969835,0.00361781911442918,"12039/117147/235339/434437/18293/13382/78920/18597",8
"Metabolism","Amino acid metabolism","mmu00260","Glycine, serine and threonine metabolism - Mus musculus (house mouse)","12/1100","40/9787",0.3,2.66918181818182,3.76410903899345,0.00106503856586768,0.00813302177571685,0.00626793031587201,"231691/100678/11655/434437/56012/20425/27364/13382/12116/268782/12411/14711",12
"Human Diseases","Cancer: overview","mmu05230","Central carbon metabolism in cancer - Mus musculus (house mouse)","17/1100","69/9787",0.246376811594203,2.19208168642951,3.53595029623682,0.0013074135640686,0.00976202127837889,0.0075233622634123,"23797/15277/110157/16832/16653/16828/269951/64384/18746/15275/56012/13649/80879/56421/100126824/18642/18597",17
"Genetic Information Processing","Replication and repair","mmu03460","Fanconi anemia pathway - Mus musculus (house mouse)","14/1100","52/9787",0.269230769230769,2.39541958041958,3.59006692044683,0.00137167576152935,0.0100191968668231,0.007721561495108,"56210/19361/12190/13870/101831/208836/12144/75764/14087/67561/67030/268465/74386/193838",14
"Organismal Systems","Nervous system","mmu04728","Dopaminergic synapse - Mus musculus (house mouse)","27/1100","136/9787",0.198529411764706,1.76637032085561,3.20247694157386,0.00220022903398984,0.0157292969238423,0.012122202516495,"23797/16519/14683/14696/14707/12913/12288/606496/791260/19053/73699/235542/14678/19054/19052/14710/59032/12289/12846/224129/16522/21770/16573/14680/19045/14704/214084",27
"Cellular Processes","Cell motility","mmu04814","Motor proteins - Mus musculus (house mouse)","36/1100","198/9787",0.181818181818182,1.61768595041322,3.1244796221769,0.0023178973200017,0.0162252812400119,0.0125044460684302,"22145/21956/11464/668940/242646/16561/74376/231646/56455/17906/21954/232943/381917/326618/11459/22003/17897/16562/360013/66196/68097/69926/16570/13424/16563/21924/17888/140781/16581/17886/100310872/22154/16573/19348/67951/16571",36
"Environmental Information Processing","Signal transduction","mmu04151","PI3K-Akt signaling pathway - Mus musculus (house mouse)","59/1100","367/9787",0.160762942779292,1.4303517463463,2.99016523525409,0.00271694959190799,0.0186305114873691,0.0143581009583108,"14268/12828/23797/263803/16401/18534/14696/14173/13638/17210/14707/12448/12913/12371/18590/19353/243764/110157/16653/14936/12443/12826/12827/19053/19651/16412/73699/235542/16779/19054/56484/20869/22027/16000/12567/16404/13649/19052/22627/22370/12643/14710/16777/59032/15519/14600/19116/75705/22084/81877/15516/22339/21770/12445/19197/12978/58988/12015/14704",59
"Metabolism","Amino acid metabolism","mmu00250","Alanine, aspartate and glutamate metabolism - Mus musculus (house mouse)","11/1100","39/9787",0.282051282051282,2.50948717948718,3.36099610812435,0.00294178001889345,0.019768761726964,0.0152353238873219,"227231/14645/11898/231327/109900/14204/100328588/14719/214579/14661/268782",11
"Organismal Systems","Nervous system","mmu04723","Retrograde endocannabinoid signaling - Mus musculus (house mouse)","29/1100","153/9787",0.189542483660131,1.68641117052882,3.04502438222478,0.00317812528320102,0.0209382371599126,0.0161366113450454,"227197/67273/226646/16519/68349/14696/14707/231871/68202/12288/66108/66916/14678/14710/102631912/12289/224129/16522/68342/78330/17991/14704/104130/17716/17717/17718/17719/17721/17722",29
"Human Diseases","Infectious disease: viral","mmu05171","Coronavirus disease - COVID-19 - Mus musculus (house mouse)","54/1100","334/9787",0.161676646706587,1.43848121937942,2.90137215544526,0.00356753209226177,0.0230517458269222,0.0177654432124777,"114641/56489/14060/20344/69379/27176/269261/15139/66489/14061/18803/99571/14161/110135/230558/20116/100040298/17175/100503670/11837/243302/19951/19943/20103/27207/19899/26451/18186/75617/67891/20054/67945/13649/19941/268449/108168140/19921/11491/20115/20088/17194/12279/266632/57808/16898/19896/54127/20084/12268/625018/12263/54217/12266/14109",54
"Metabolism","Metabolism of cofactors and vitamins","mmu00670","One carbon pool by folate - Mus musculus (house mouse)","10/1100","37/9787",0.27027027027027,2.4046683046683,3.04604541884355,0.00627311839387816,0.0397692034026993,0.0306491981111028,"232087/107747/434437/20425/13382/13361/12116/11720/12411/14711",10
"Human Diseases","Cardiovascular disease","mmu05412","Arrhythmogenic right ventricular cardiomyopathy - Mus musculus (house mouse)","18/1100","86/9787",0.209302325581395,1.86221987315011,2.85774214355895,0.00642054829664271,0.0398518650641735,0.0307129035269006,"13346/12298/16401/11938/12288/11937/16412/13138/14609/16404/20191/11472/109620/12289/20541/12558/12385/21416",18
"Cellular Processes","Cell growth and death","mmu04218","Cellular senescence - Mus musculus (house mouse)","32/1100","182/9787",0.175824175824176,1.56435564435564,2.73466366255082,0.00660066783551138,0.0398518650641735,0.0307129035269006,"17164/23797/21808/16175/13559/12428/12448/19646/231724/110157/16653/233020/75660/66922/12443/11739/19651/18021/56484/12567/18412/22333/12289/22084/14972/14964/15015/15007/15042/12445/19045/19367",32
"Organismal Systems","Digestive system","mmu04975","Fat digestion and absorption - Mus musculus (house mouse)","11/1100","43/9787",0.255813953488372,2.27604651162791,2.98398154131823,0.00664197751069558,0.0398518650641735,0.0307129035269006,"12491/14080/233549/14719/11806/11808/110446/238055/19012/224530/67470",11
